rownumber,experiment,participant,block_order,data_type,fp_c_tt1,fp_c_tt2,fp_c_tt3,fp_c_tt4,fp_ic_tt1,fp_ic_tt2,fp_ic_tt3,fp_ic_tt4,t1_c_tt1,t1_c_tt2,t1_c_tt3,t1_c_tt4,t1_ic_tt1,t1_ic_tt2,t1_ic_tt3,t1_ic_tt4,t2_c_tt1,t2_c_tt2,t2_c_tt3,t2_c_tt4,t2_ic_tt1,t2_ic_tt2,t2_ic_tt3,t2_ic_tt4,t3_c_tt1,t3_c_tt2,t3_c_tt3,t3_c_tt4,t3_ic_tt1,t3_ic_tt2,t3_ic_tt3,t3_ic_tt4
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 1 Raw Latency,1186,1295,1170,1622,1108,1248,1186,1716,1591,1560,1810,1981,1138,874,1498,1514,3026,968,1513,1373,1060,1138,1388,1419,1435,1186,2294,2465,1311,1295,1264,1997
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 2 Raw Latency,921,1124,1155,1856,952,1498,1341,1248,1154,1450,1326,1888,1061,1981,1389,2870,1045,1233,1279,3385,1592,2044,2138,2137,952,1201,1544,2933,1357,1185,1201,1919
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 3 Raw Latency,1420,1170,1607,1467,1060,1654,1575,1856,1653,1045,1139,1529,921,1716,2200,1623,1014,1326,1248,2402,1622,1778,1700,1669,1607,1123,2044,1747,983,1623,2106,2309
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 4 Raw Latency,1123,1857,1841,1544,1123,1388,1466,1201,1030,1420,1482,1653,1825,1154,1482,1732,1170,1560,1202,1560,1498,1435,1856,2277,1014,3105,2386,1623,1045,1763,2043,2294
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 5 Raw Latency,1029,1233,1388,1467,1138,1201,1607,1982,1280,1373,1591,1513,998,1264,2450,1794,1638,1030,1825,2231,1201,1700,1825,1763,1420,1794,1872,1748,1092,1607,1591,1996
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 6 Raw Latency,1030,1061,1716,1435,1155,983,1264,1747,1763,983,1529,1108,2028,921,1155,1872,936,1216,1841,1560,1716,1326,1529,1685,3151,1077,1436,1232,1232,2293,1451,1685
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 1 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 2 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 3 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 4 Accuracy,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 5 Accuracy,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 6 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 0026,consistent,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 1 Raw Latency,968,1061,1779,2137,951,1217,1186,1264,1170,1450,1108,1264,967,936,1638,1279,858,952,1419,1092,733,843,1763,1825,904,858,1451,983,1810,983,1046,1233
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 2 Raw Latency,827,889,983,1373,1045,1217,1482,1372,1045,1046,1966,1451,1060,1497,1154,1419,968,1014,1576,1357,983,1014,1092,1404,1029,1357,1295,1419,1045,998,1092,1279
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 3 Raw Latency,1014,1451,1061,1014,967,1123,1311,1981,1045,1077,1092,1576,967,2059,1279,1217,1248,1373,1233,1716,1030,1186,1233,1326,1264,998,1373,1544,1389,1342,1295,795
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 4 Raw Latency,921,1466,2262,1841,1108,1264,1436,1888,889,1232,1139,1170,967,968,1217,1794,983,1155,1108,1748,858,1107,1341,1716,1279,1045,1467,1435,1108,2012,1966,1264
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 5 Raw Latency,983,1794,1014,1357,1857,1061,1248,1404,1014,1420,1092,1436,1232,936,1654,1731,968,1295,1170,1435,1061,1014,1373,1513,1373,1014,1747,1607,1186,827,1201,1295
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 6 Raw Latency,1030,827,1810,1139,1014,1030,1029,1264,1060,968,2902,1264,1092,873,1311,1060,1045,811,1248,921,1139,1092,1139,998,1014,1076,1263,982,998,1216,1138,1342
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 1 Accuracy,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 2 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 3 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 4 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 5 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 6 Accuracy,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 008,consistent,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 012,consistent,Target 1 Raw Latency,858,967,1061,1358,951,827,1138,1232,983,920,952,1107,936,858,1030,936,796,811,1014,936,999,936,1014,1326,796,1045,1201,1045,999,873,1373,1232
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 012,consistent,Target 2 Raw Latency,858,1248,1077,1513,1045,920,1092,1326,827,842,951,967,982,874,1030,1404,749,920,1185,921,1029,952,998,1388,936,1201,1935,1373,999,983,1124,1232
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 012,consistent,Target 3 Raw Latency,796,1045,998,1154,999,889,1030,1046,749,967,983,1092,920,874,1061,1154,843,1061,1248,1029,967,1170,1014,1232,921,1077,1061,1170,1124,952,1201,1264
1,van der kaap et al - 2018 - needs satisfaction irap,Participant 012,consistent,Target 4 Raw Latency,873,1014,1045,1014,967,1014,905,1030,889,905,983,1076,1170,1123,1045,1279,999,983,1045,1108,1232,780,1202,1232,780,1061,1482,1451,1092,1029,1295,1420
